value_time,setting_name,setting_value
2026-05-06 09:46:38+0000,activity state,sedentary
2026-05-06 09:46:38+0000,auto run enabled,true
2026-05-06 09:46:38+0000,auto stride enabled,true
2026-05-06 09:46:38+0000,body constitution,regular
2026-05-06 09:46:38+0000,is nursing,false
2026-05-06 09:46:38+0000,pregnant state,not pregnant
2026-05-06 09:46:38+0000,sleep proc algorithm,composite
2026-05-06 09:46:38+0000,stride length running,0
2026-05-06 09:46:49+0000,stride length walking,813
2026-05-15 00:12:43+0000,sedentary prune time,2026-05-15T00:00:00.0Z
2026-05-15 00:12:55+0000,hr scaling sleep rest,"[2026-05-14] Current: 0.84, [2026-05-13] Previous: 0.85"
